ISBN,title,desc,price,publisher_id,published_year,image
0399135782,The Kitchen God's Wife,"Winnie and Helen have kept each others worst secrets for more than fifty years. Now, because she believes she is dying, Helen wants to expose everything. And Winnie angrily determines that she must be the one to tell her daughter, Pearl, about the past—including the terrible truth even Helen does not know. And so begins Winnies story of her life on a small island outside Shanghai in the 1920s, and other places in China during World War II, and traces the happy and desperate events that led to Winnies coming to America in 1949.",60,6,1991,https://pictures.abebooks.com/isbn/9780399135781-us.jpg
0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),"When a cabin cruiser mysteriously explodes in the marina of Breakfast Island, newspaper reporter Jim Qwilleran and his feline companions investigate shady happenings at the hot vacation spot. 125,000 first printing.",30,6,1994,https://pictures.abebooks.com/isbn/9780399138683-us.jpg
0399137807,The Cat Who Wasn't There,"Skulduggery strikes the Bonnie Scots Tour as Jim Qwilleran and his friends from Pickax set forth on a never-to-be-forgotten Scottish adventure in the classic, bestselling Cat Who . . . series. Distraught over the death of one of their party, the remaining tour members try not to panic as Jim tries to figure out why his Siamese Koko is licking photographs and tackling him on the stairs.",65,6,1992,https://pictures.abebooks.com/isbn/9780399137808-us.jpg
039914370X,Sudden Mischief (Spenser Mysteries (Hardcover)),"Brad Sterling - former Harvard football player, neer-dowell, and Susan Silvermans long-out-of-touch ex-husband - is, by all appearances, a successful businessman. But when he is charged with sexual harassment in the course of running a vast fund-raiser called Galapalooza, he turns to Susan for help. Though Brad denies the charge, hes desperate, behind in alimony and child support to other exes, and on the verge of dissolution. When Spenser reluctantly agrees to the case, he finds Brad denies everything. Sterling claims everything is fine - he is free of debt and free of problems. While the harassment charge begins to look more and more specious, Spenser begins to sense there is something wrong with Galapalooza, when leads to charities turn into dead end. Susan, meanwhile, becomes steadily more problematic as she wrestles with demons reinvigorated by the resurrection of her ex-husband. As the questions mount, Brad disappears, a body is found, and a shadowy mob connection begins to coalesce. Spenser finds himself fighting a two-front war: against some very bad men on the one hand, and an increasingly difficult Susan, struggling with her own resurrection, on the other.",85,6,1998,https://images-na.ssl-images-amazon.com/images/P/039914370X.01.LZZZZZZZ.jpg
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,"Historians and inquisitive laymen alike love to ponder the dramatic what-its of history. In these twenty never-before-published essays, some of the keenest minds of our time ask the big, tantalizing questions: Where might we be if history had not unfolded the way it did?  Why, how, and when was our fortune made real? The answers are surprising, sometimes frightening, and always entertaining..",55,7,2000,https://images-na.ssl-images-amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg
0425163091,Chocolate Jesus,"The deliciously funny new novel from the acclaimed author of Going Postal.Now, in Chocolate Jesus, Jaramillo introduces Sydney Corbet, a self-proclaimed JFK assassination scholar who has just come up with the idea of a lifetime -- Chocolate Jesus. This semisweet chocolate Messiah offers salvation for many, especially the nearly extinct Beas Candies, whose Easter promotion just might turn things around for the company. Everyone knows that the Easter Bunny cant compete with the King of Kings. But no one counted on the Reverend Willy Domingo and his vegetarian fitness zealots, who gather on a crusade against a graven image of Christ that consists of nothing more than empty calories...Capture(s) the mood and voice of a certain distinctive type of apprentice grown-up. -- New York Times Book ReviewEnormously entertaining moments, reverberating with a cynical wit underscored...with heartbreaking poignancy and disillusion...haunting, honest. -- St. Petersburg TimesA very funny book... Jaramillo deserves credit for a crisp and funny style, a dead-on ear for dialogue, but more impressive, an emotional honesty thats rare and wonderful. -- Rocky Mountain News",80,7,1998,https://pictures.abebooks.com/isbn/9780425163092-us.jpg
0425182908,Isle of Dogs,"Chaos breaks loose when the governor of Virginia orders that speed traps be painted on all streets and highways, and warns that speeders will be caught by monitoring aircraft flying overhead. But the eccentric island of Tangier, fourteen miles off the coast of Virginia in the Chesapeake Bay, responds by declaring war on its own state. Judy Hammer, newly installed as the superintendent of the Virginia State Police, and Andy Brazil, a state trooper and Hammers right hand and confidant, find themselves at their wits end as they try to protect the public from the politicians --- and vice versa --- in this pitch-perfect, darkly comic romp.",45,7,2002,https://images-na.ssl-images-amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
042518630X,Purity in Death,"Louie Cogburn had spent three days holed up in his apartment staring at his computer screen. His pounding headache was unbearable--it felt like spikes drilling into his brain.And it was getting worse. Finally, when someone knocked at the door, Louie picked up a baseball bat, opened the door, and started swinging....The first cop on the scene fired his stunner twice. Louie died instantly. Detective Eve Dallas has taken over the investigation but theres nothing to explain the mans sudden rage or death. The only clue is a bizarre message left on his computer screen.ABSOLUTE PURITY ACHIEVEDAnd when a second man dies under near-identical circumstances, Eve starts racking her brain for answers and the courage to face the impossible ... that this might be a computer virus able to spread from machine to man....",25,7,2002,https://images-na.ssl-images-amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg
042511774X,Breathing Lessons,"Maggie Morans mission is to connect and unite people, whether they want to be united or not. Maggie is a meddler and as she and her husband, Ira, drive 90 miles to the funeral of an old friend, Ira contemplates his wasted life and the traffic, while Maggie hatches a plan to reunite her son Jesse with his long-estranged wife and baby. As Ira explains, She thinks the people she loves are better than they really are, and so then she starts changing things around to suit her view of them. Though everyone criticizes her for being ordinary, Maggies ability to see the beauty and potential in others ultimately proves that she is the only one fighting the resignation they all fear. The book captured the Pulitzer Prize for literature in 1989.",50,7,1994,https://images-na.ssl-images-amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg
0425184226,The Sum of All Fears,"How do you save the United States President from himself? What if the President is incompetent to deal with the greatest crisis of all? Jack Ryan never thought he would have to ask those questions as, the world order changing, he prepares the ground for the Middle Eastern peace plan that, at last, might be the one to work.But too many groups have invested too much blood. Shunned by their erstwhile Soviet sponsors, increasingly isolated by the realignment of the Mideast, these terrorists have one more desperate card to play, requiring a degree of ruthlessness never before seen. With one terrible act, the world is plunged into an instant nuclear crisis -- and the floundering President is plunged into the ultimate nightmare. Forces collide. Shots are exchanged. What had seemed to be an isolated and horrible incident appears to each side as the incendiary mischief of the other. With the world poised on the brink of nuclear war, Ryan and his FBI counterpart, Dan Murray, frantically seek a solution before the chiefs of state lose control of themselves -- and the world.",50,7,2002,https://images-na.ssl-images-amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg
0425164403,Only Love (Magical Love),"Dr Matthew Hiller is a world class neurosurgeon intent on saving the life of Silvia, the wife of super-rich Nico Rinaldi. But she is also his former lover. Will he operate successfully only to lose her again, as he did back in Eritrea in 1979?",60,7,1998,https://images-na.ssl-images-amazon.com/images/P/0425164403.01.LZZZZZZZ.jpg
0425120279,The Hunt for Red October,"Somewhere under the Atlantic, a Soviet sub commander has just made a fateful decision. The Red October is heading west. The Americans want her. The Russians want her back. And the most incredible chase in history is on ...Here is the runaway bestseller that launched Tom Clancys phenomenal career. A military thriller so accurate and so convincing in its accuracy that the author was rumored to have been debriefed by the White House. Its theme: The greatest espionage coup in history. Its story: The chase for a top secret Russian missile sub. Its title: THE HUNT FOR RED OCTOBER",55,7,1990,https://pictures.abebooks.com/isbn/9780425120279-us.jpg
0425098109,Thieves of Light (Photon : the Ultimate Game on Planet Earth),"Its not just a game. Suddenly transported to an alien spacecraft, Christopher learns the shocking truth. Photon is a recruiting center for the warrior elite. The weaponry and technology are real, the battle between light and dark is real, and the planet Earth faces total destruction at the hands of the evil Arrian Alliance.",20,7,1987,https://pictures.abebooks.com/isbn/9780425098103-us.jpg
0425156842,Sophie's World: A Novel About the History of Philosophy (Berkeley Signature Edition),"One day when Sophie comes home from school, she finds two questions in her mail: Who are you? and Where does the world come from? Before she knows it, she is pondering all the great questions of Western philosophy (from the Greeks to Kant, to Marx and Freud) with a mysterious mentor. But Sophie is also receiving a separate batch of equally unusual letters. Who is Hilde? And why does her mail keep turning up in Sophies world? To solve this riddle, Sophie uses her new knowledge of philosophy, but the truth is far stranger than she could have imagined.",80,7,1997,https://images-na.ssl-images-amazon.com/images/P/0425156842.01.LZZZZZZZ.jpg
0425178242,Kick Ass: Selected Columns of Carl Hiaasen,"Readers who love Carl Hiaasens off-the-wall novels wont want to miss this outrageous, eclectic collection of his notorious Miami Herald columns. His unique and passionate essays prove that the facts can indeed be stranger than fiction...",25,7,2001,https://images-na.ssl-images-amazon.com/images/P/0425178242.01.LZZZZZZZ.jpg
0425181111,Strangers,"They were strangers.A handful of people. From different backgrounds, living in different towns and cities across America, they had nothing in common - except fear.They were victims.Cold and stark, an unknown terror gripped their dreams and turned their days into living nightmares.They were chosen.And they could not escape. Deep in the heart of a sprawling desert, a dark memory called out to them, drawing them to the Tranquility Motel - where the terrifying truth was waiting...",80,7,2002,https://images-na.ssl-images-amazon.com/images/P/0425181111.01.LZZZZZZZ.jpg
0425182878,Chosen Prey,"A New York Times bestseller!Lucas Davenport returns in a most harrowing and unexpected Prey novel - the story of a congenial man, and his most uncongenial obsession...An art history professor, writer and cheerful pervert, James Qatar had a hobby: he took secret photographs of women and turned them into highly sexual drawings. One day, he took the hobby a step further and, well, one thing led to another and he had to kill her. A man in his position couldnt be too careful, after all. And you know something? He liked it.Already faced with a welter of confusion in his personal life, Deputy Chief Lucas Davenport decides to take this case himself, hoping that some straightforward police work will clear his head. But as the trail begins to take some unexpected turns, it soon becomes clear that nothing is straightforward about this killer. The man is learning as he goes, Lucas realizes, taking great strides forward with each murder. He is becoming a monster — and Lucas may have no choice but to walk right into his lair.",70,7,2004,https://images-na.ssl-images-amazon.com/images/P/0425182878.01.LZZZZZZZ.jpg
042517736X,Abduction,"The worlds bestselling master of the medical thriller, Robin Cook skillfully combines human drama and high-tech thrills with the latest breakthroughs and controversies of modern medicine. Now, in his most daring novel yet, a mysterious transmission from the bottom of the Atlantic Ocean leads a crew of oceanographers and divers to a phenomenon beyond scientific understanding—a discovery that will change everything we know about life on Earth…",25,7,2000,https://images-na.ssl-images-amazon.com/images/P/042517736X.01.LZZZZZZZ.jpg
0425179672,The River King,"From the best-selling author of The Dovekeepers, The River King confirms Alice Hoffman as one of our quirkiest and most interesting novelists (Jane Smiley, USA Today).People tend to stay in their place in the town of Haddan. The students at the prestigious prep school dont mix with locals. Even within the school, hierarchy rules as freshman and faculty members find out where they fit in and what is expected of them. But when a body is found in the river behind the school, a local policeman will walk into this enclosed world and upset it entirely. A story of surface appearances and the truths submerged below.",75,7,2001,https://images-na.ssl-images-amazon.com/images/P/0425179672.01.LZZZZZZZ.jpg
0425174484,"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic","The slyly ironic, frequently hilarious(Time) memoir about angels, academics, and a boy named Adam...A national bestseller and an important reminder that life is what happens when youre making other plans.Put aside your expectations. This rueful, riveting, piercingly funny (Julia Cameron) book is written by a Harvard graduate--but it tells a story in which hearts trump brains every time. Its a tale about mothering a Down syndrome child that opts for sass over sap, and its a book of heavenly visions and inexplicable phenomena thats as down-to-earth as anyone could ask for. This small masterpiece is Martha Becks own story--of leaving behind the life of a stressed-out superachiever, opening herself to things shed never dared consider, meeting her son for (maybe) the first time...and unlearn[ing] virtually everything Harvard taught [her] about what is precious and what is garbage.Beck [is] very funny, particularly about the most serious possible subjects--childbirth, angels and surviving at Harvard. --New York Times Book ReviewImmensely appealing...hooked me on the first page and propelled me right through visions and out-of-body experiences I would normally scoff at. --Detroit Free PressI challenge any reader not to be moved by it. --NewsdayBrilliant. --Minneapolis Star-Tribune",75,7,2000,https://images-na.ssl-images-amazon.com/images/P/0425174484.01.LZZZZZZZ.jpg
0425169626,Waking the Dead,"Fielding Price keeps seeing Sarah everywhere--did she survive the car bombing, or is he losing his mind? Written by the author of Men in Black, Waking the Dead is major motion picture produced by Jodie Foster.",55,7,2000,https://images-na.ssl-images-amazon.com/images/P/0425169626.01.LZZZZZZZ.jpg
0425184129,Big Trouble,"Barrys irreverently funny fiction debut about love and mayhem in south Florida, a New York Times bestseller, is the basis for the new Touchstone motion picture, directed by Barry Sonnenfeld (The Addams Family, Men in Black) and starring Tim Allen, Rene Russo, Jeaneane Garofalo, and Stanley Tucci.In the city of Coconut Grove, Florida, these things happen: A struggling adman named Eliot Arnold drives home from a meeting with the Client From Hell. His teenage son, Matt, fills a Squirtmaster 9000 for his turn at a high school game called Killer. Matts intended victim, Jenny Herk, sits down in front of the TV with her mom for what she hopes will be a peaceful evening for once. Jennys alcoholic and secretly embezzling stepfather, Arthur, emerges from the maids room, angry at being rebuffed. Henry and Leonard, two hit men from New Jersey, pull up to the Herks house for a real game of Killer, Arthurs embezzlement apparently not having been quite so secret to his employers after all. And a homeless man named Puggy settles down for the night in a treehouse just inside the Herks yard.In a few minutes, a chain of events that will change the lives of each and every one of them will begin, and will leave some of them wiser, some of them deader, and some of them definitely looking for a new line of work. With a wicked wit, razor-sharp observations, rich characters, and a plot with more twists than the Inland Waterway, Dave Barry makes his debut a complete and utter triumph.",30,7,2002,https://images-na.ssl-images-amazon.com/images/P/0425184129.01.LZZZZZZZ.jpg
0425142485,The Funhouse,"Once there was a girl who ran away and joined a traveling carnival. She married a man she grew to hate — and gave birth to a child she could never love. A child so monstrous that she killed it with her own hands... Twenty-five years later, Ellen Harper has a new life, a new husband, and two normal children — Joey loves monster movies, and Amy is about to graduate from high school. But their mother drowns her secret guilt in alcohol and prayer. The time has come for Amy and Joey to pay for her sins… Because Amy is pregnant.And the carnival is coming back to town.",20,7,1994,https://images-na.ssl-images-amazon.com/images/P/0425142485.01.LZZZZZZZ.jpg
0425049981,Titan,"It begins with humankinds exploration of a massive satellite orbiting Saturn. It culminates in a shocking discovery: the satellite is a giant alien being. Her name is Gaea. Her awesome interior is mind-boggling—because it is a mind. A mind that calls out to explorers, transforming all who enter.",75,7,1980,https://pictures.abebooks.com/isbn/9780425049983-us.jpg
0425161722,Net Force,"In the year 2010, computers are the new superpowers. Those who control them, control the world. To enforce the Net Laws, Congress creates the ultimate computer security agency within the FBI: Net Force.When the director of Net Force is assassinated, Deputy Director Alex Michaels is thrust into one of the most powerful and dangerous positions in the world. At the same time, cyber-terrorists sabotage mainframe computers across the country, causing famine, chaos, and death.Now Michaels and his team must find out who is responsible—and what they have to gain. But there is another problem. If they assassinated one Net Force director, what will stop them from assassinating another?A powerful examination of Americas defense and intelligence systems of the future, Tom Clancys Net Force is the creation of Tom Clancy and Steve Pieczenik, inspiring this novel as well as the explosive ABC Television miniseries.",30,7,1999,https://images-na.ssl-images-amazon.com/images/P/0425161722.01.LZZZZZZZ.jpg
0425134350,Patriot Games,"
Tom Clancys Patriot Games is filled with the exceptional realism and authenticity that distinguished the authors two previous bestsellers, Hunt for Red October and Red Storm Rising. Patriot Games puts us on the cutting edge of another type of war — the international battle of terrorism.
It is fall. Years before the defection of a Soviet submarine will send him hurtling into confrontation with the Soviets, historian, ex-Marine and CIA analyst Jack Ryan is vacationing in London with his wife and young daughter, when a terrorist attack takes place before his eyes. Instinctively, he dives forward to break it up, and is shot. It is not until he wakes up in the hospital that he learns whose lives he has saved -- the Prince and Princess of Wales and their new young son -- and which enemies he has made -- the Ulster Liberation Army, an ultra-left-wing splinter of the IRA.By his impulsive act, he has gained both the gratitude of a nation and then enmity of hits most dangerous men -- men who do not sit on their hate. And in the weeks and months to come, it is Jack Ryan, and his family, who will become the targets of that hate.",85,7,1992,https://pictures.abebooks.com/isbn/9780425134351-us.jpg
0425166619,Toxin,"Just how safe is Americas meat supply? Recent health scares and new public awareness have made this one of todays most controversial subjects --- and the basis of Robin Cooks most startling, and important novel.When a doctors daughter becomes infected with E. coli, the widespread dangers of bacterial contamination are no longer a subject for debate, but a grim reality. In desperation, he is forced to follow a trail of ignorance and corruption from the tangled red-tape of the medical community to the highest levels of the powerful meat industry. It is an eye-opening thriller that every American should read ...",40,7,1999,https://images-na.ssl-images-amazon.com/images/P/0425166619.01.LZZZZZZZ.jpg
0671870432,PLEADING GUILTY,"A former cop, now an attorney, falls into danger when he tries to find a fellow attorney whos absconded with millions from a settlement fund. 4 cassettes.",60,8,1993,https://images-na.ssl-images-amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg
0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,"For this rousing, revisionist history, the former head of exhibitions at Englands National Maritime Museum has combed original documents and records to produce a most authoritative and definitive account of piracys Golden Age. As he explodes many accepted myths (i.e. walking the plank is pure fiction), Cordingly replaces them with a truth that is more complex and often bloodier. of photos. Maps.",80,9,1996,https://pictures.abebooks.com/isbn/9780679425601-us.jpg
0394743741,The yawning heights,"In his first published novel, Soviet philosopher Alexander Zinoviev chose, to satirize and ridicule Soviet society in Yawning Heights, presented as the city / nation of Ibansk. Every Ibanskian citizen is named Iban Ibanovich Ibanov, and therefore goes by a nickname as Chatterer, Slanderer, Boss, Hog, Truthteller, Dauber, Sociologist, and many others. The most admirable character is Bawler. Truth Teller is obviously Alexander Solzhenitsyn, the Boss is Stalin, Hog is Khrushchev. Lesser characters are more difficult to figure out. Ibansk roughly translates into English as Screw Town of (or for) all Ivans. Their political religion is called the Ism (which is short for Soc-ism), and nobody really believes in it. When it was written the book was essentially a superlative description of the Soviet Union.",30,9,1980,https://pictures.abebooks.com/isbn/9780394743745-us.jpg
0375509038,The Right Man : The Surprise Presidency of George W. Bush,"The Right Man is the first inside account of a historic year in the Bush White House, by the presidential speechwriter credited with the phrase axis of evil. David Frum helped make international headlines when President George W. Bush’s 2002 State of the Union address linked international terrorists to Iran, Iraq, and North Korea. But that was only one moment during a crucial time in American history, when a president, an administration, and a country were transformed.Frum worked with President Bush in the Oval Office, traveled with him aboard Air Force One, and studied him closely at meetings and events. He describes how Bush thinks—what this conservative president believes about religion, race, the environment, Jews, Muslims, and America’s future. Frum takes us behind the scenes of one of the most secretive administrations in recent history, with revealing portraits of Karl Rove, Karen Hughes, Condoleezza Rice, and many others. Most significant, he tells the story of the transformation of George W. Bush: how a president whose administration began in uncertainty became one of the most decisive, successful, and popular leaders of our time.Before becoming a White House speechwriter, David Frum was a highly regarded author of books and political commentary and an influential voice on the pages of The Wall Street Journal and The Weekly Standard. His commentary has been described by William F. Buckley as “the most refreshing ideological experience in a generation.” Now, in The Right Man, we see Frum as a front-row observer and participant. Not since Peggy Noonan’s account of her time in the Reagan White House has an insider portrayed a sitting president with such precision, verve, honest admiration, and insight. The Right Man will command international attention for its thoughtful account of George W. Bush in the midst of his greatest challenge. It will be an essential reference for anyone seeking to understand who our president really is and how he is likely to lead us in the future.From the Hardcover edition.",70,9,2003,https://images-na.ssl-images-amazon.com/images/P/0375509038.01.LZZZZZZZ.jpg
